_Key	_Keyclarity	_Keystrength		
	6.000000	0.790883	5.000000	
	6.000000	0.794758	5.000000	
	6.000000	0.840685	5.000000	
	6.000000	0.708859	5.000000	
	6.000000	0.786167	5.000000	
	6.000000	0.453244	5.000000	
	10.000000	0.813161	9.000000	
	10.000000	0.892692	9.000000	
	10.000000	0.899991	9.000000	
	8.000000	0.660608	7.000000	
	8.000000	0.909673	7.000000	
	8.000000	0.799494	7.000000	
	11.000000	0.793404	10.000000	
	11.000000	0.862271	10.000000	
	1.000000	0.738742	0.000000	
	1.000000	0.718943	0.000000	
	1.000000	0.663810	0.000000	
	1.000000	0.631361	0.000000	
	8.000000	0.953425	7.000000	
	8.000000	0.919403	7.000000	
	3.000000	0.691761	2.000000	
	3.000000	0.846401	2.000000	
	8.000000	0.636921	7.000000	
	11.000000	0.597668	10.000000	
	8.000000	0.693199	7.000000	
	8.000000	0.647500	7.000000	
	11.000000	0.631143	10.000000	
	8.000000	0.595321	7.000000	
	11.000000	0.491769	10.000000	
	5.000000	0.591071	4.000000	
	1.000000	0.841662	0.000000	
	1.000000	0.636836	0.000000	
	1.000000	0.786842	0.000000	
	1.000000	0.708533	0.000000	
	1.000000	0.794724	0.000000	
	6.000000	0.666292	5.000000	
	1.000000	0.481464	0.000000	
	6.000000	0.490449	5.000000	
	6.000000	0.864369	5.000000	
	10.000000	0.332873	9.000000	
	10.000000	0.578782	9.000000	
	5.000000	0.685165	4.000000	
	1.000000	0.688771	0.000000	
	1.000000	0.546244	0.000000	
	1.000000	0.577517	0.000000	
	1.000000	0.388383	0.000000	
	1.000000	0.533173	0.000000	
	5.000000	0.453414	4.000000	
	3.000000	0.801799	2.000000	
	3.000000	0.643775	2.000000	
	3.000000	0.673077	2.000000	
	3.000000	0.849478	2.000000	
	11.000000	0.600341	10.000000	
	11.000000	0.578579	10.000000	
	11.000000	0.574027	10.000000	
	11.000000	0.626340	10.000000	
	8.000000	0.711715	7.000000	
	5.000000	0.682930	4.000000	
	5.000000	0.688550	4.000000	
	5.000000	0.621388	4.000000	
	11.000000	0.411488	10.000000	
	3.000000	0.840104	2.000000	
	10.000000	0.727475	9.000000	
	3.000000	0.860863	2.000000	
	3.000000	0.691748	2.000000	
	6.000000	0.374505	5.000000	
	1.000000	0.718916	0.000000	
	1.000000	0.688913	0.000000	
	1.000000	0.714719	0.000000	
	1.000000	0.621941	0.000000	
	1.000000	0.478199	0.000000	
	1.000000	0.425680	0.000000	
	6.000000	0.751716	5.000000	
	6.000000	0.484468	5.000000	
	10.000000	0.488970	9.000000	
	10.000000	0.776825	9.000000	
	8.000000	0.545486	7.000000	
	1.000000	0.467222	0.000000	
	1.000000	0.549372	0.000000	
	1.000000	0.309932	0.000000	
	1.000000	0.422092	0.000000	
	4.000000	0.393188	3.000000	
	3.000000	0.765481	2.000000	
	3.000000	0.780767	2.000000	
	3.000000	0.615832	2.000000	
	3.000000	0.944964	2.000000	
	11.000000	0.652911	10.000000	
	11.000000	0.597835	10.000000	
	11.000000	0.575909	10.000000	
	11.000000	0.623317	10.000000	
	11.000000	0.621666	10.000000	
	8.000000	0.754564	7.000000	
	8.000000	0.884934	7.000000	
	8.000000	0.804047	7.000000	
	8.000000	0.773596	7.000000	
	1.000000	0.726480	0.000000	
	1.000000	0.495672	0.000000	
	1.000000	0.747119	0.000000	
	1.000000	0.646443	0.000000	
	6.000000	0.691201	5.000000	
	6.000000	0.806832	5.000000	
